"ID","Category","Name","Method","Checked","Observed","Recommended","Operator","Severity","Result","Detail","Hostname"
"10001","Registry (MS baseline)","Software\Microsoft\WcmSvc\wifinetworkmanager\config\AutoConnectAllowedOEM","Registry","HKLM:\Software\Microsoft\WcmSvc\wifinetworkmanager\config\AutoConnectAllowedOEM","","0","=","Medium","Medium","Result=, Recommended=0",
"10002","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\CredUI\EnumerateAdministrators","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\CredUI\EnumerateAdministrators","","0","=","Medium","Medium","Result=, Recommended=0",
"10003","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoDriveTypeAutoRun","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoDriveTypeAutoRun","","255","=","Medium","Medium","Result=, Recommended=255",
"10004","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoWebServices","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoWebServices","","1","=","Medium","Medium","Result=, Recommended=1",
"10005","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoAutorun","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoAutorun","","1","=","Medium","Medium","Result=, Recommended=1",
"10006","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\LAPS\BackupDirectory","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\LAPS\BackupDirectory","","2","=","Medium","Medium","Result=, Recommended=2",
"10007","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\LAPS\ADPasswordEncryptionEnabled","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\LAPS\ADPasswordEncryptionEnabled","","1","=","Medium","Medium","Result=, Recommended=1",
"10008","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\LAPS\ADBackupDSRMPassword","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\LAPS\ADBackupDSRMPassword","","1","=","Medium","Medium","Result=, Recommended=1",
"10009","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\MSAOptional","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\MSAOptional","","1","=","Medium","Medium","Result=, Recommended=1",
"10010","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\DisableAutomaticRestartSignOn","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\DisableAutomaticRestartSignOn","","1","=","Medium","Medium","Result=, Recommended=1",
"10011","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\LocalAccountTokenFilterPolicy","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\LocalAccountTokenFilterPolicy","","0","=","Medium","Medium","Result=, Recommended=0",
"10012","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\EnableMPR","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\EnableMPR","","0","=","Medium","Medium","Result=, Recommended=0",
"10013","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\Audit\ProcessCreationIncludeCmdLine_Enabled","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\Audit\ProcessCreationIncludeCmdLine_Enabled","","1","=","Medium","Medium","Result=, Recommended=1",
"10014","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\CredSSP\Parameters\AllowEncryptionOracle","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\CredSSP\Parameters\AllowEncryptionOracle","","0","=","Medium","Medium","Result=, Recommended=0",
"10015","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters\PKINITHashAlgorithmConfigurationEnabled","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters\PKINITHashAlgorithmConfigurationEnabled","","1","=","Medium","Medium","Result=, Recommended=1",
"10016","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters\PKINITSHA1","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters\PKINITSHA1","","0","=","Medium","Medium","Result=, Recommended=0",
"10017","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters\PKINITSHA256","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters\PKINITSHA256","","3","=","Medium","Medium","Result=, Recommended=3",
"10018","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters\PKINITSHA384","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters\PKINITSHA384","","3","=","Medium","Medium","Result=, Recommended=3",
"10019","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters\PKINITSHA512","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\KDC\Parameters\PKINITSHA512","","3","=","Medium","Medium","Result=, Recommended=3",
"10020","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\PKInitHashAlgorithmConfigurationEnabled","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\PKInitHashAlgorithmConfigurationEnabled","","1","=","Medium","Medium","Result=, Recommended=1",
"10021","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\PKInitSHA1","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\PKInitSHA1","","0","=","Medium","Medium","Result=, Recommended=0",
"10022","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\PKInitSHA256","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\PKInitSHA256","","3","=","Medium","Medium","Result=, Recommended=3",
"10023","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\PKInitSHA384","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\PKInitSHA384","","3","=","Medium","Medium","Result=, Recommended=3",
"10024","Registry (MS baseline)","Software\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\PKInitSHA512","Registry","HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\PKInitSHA512","","3","=","Medium","Medium","Result=, Recommended=3",
"10025","Registry (MS baseline)","Software\Policies\Microsoft\Biometrics\FacialFeatures\EnhancedAntiSpoofing","Registry","HKLM:\Software\Policies\Microsoft\Biometrics\FacialFeatures\EnhancedAntiSpoofing","","1","=","Medium","Medium","Result=, Recommended=1",
"10026","Registry (MS baseline)","Software\Policies\Microsoft\Internet Explorer\Feeds\DisableEnclosureDownload","Registry","HKLM:\Software\Policies\Microsoft\Internet Explorer\Feeds\DisableEnclosureDownload","","1","=","Medium","Medium","Result=, Recommended=1",
"10027","Registry (MS baseline)","Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51\DCSettingIndex","Registry","HKLM:\Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51\DCSettingIndex","","1","=","Medium","Medium","Result=, Recommended=1",
"10028","Registry (MS baseline)","Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51\ACSettingIndex","Registry","HKLM:\Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51\ACSettingIndex","","1","=","Medium","Medium","Result=, Recommended=1",
"10029","Registry (MS baseline)","Software\Policies\Microsoft\Windows\AppPrivacy\LetAppsActivateWithVoiceAboveLock","Registry","HKLM:\Software\Policies\Microsoft\Windows\AppPrivacy\LetAppsActivateWithVoiceAboveLock","","2","=","Medium","Medium","Result=, Recommended=2",
"10030","Registry (MS baseline)","Software\Policies\Microsoft\Windows\Bowser\EnableMailslots","Registry","HKLM:\Software\Policies\Microsoft\Windows\Bowser\EnableMailslots","","0","=","Medium","Medium","Result=, Recommended=0",
"10031","Registry (MS baseline)","Software\Policies\Microsoft\Windows\CloudContent\DisableWindowsConsumerFeatures","Registry","HKLM:\Software\Policies\Microsoft\Windows\CloudContent\DisableWindowsConsumerFeatures","","1","=","Medium","Medium","Result=, Recommended=1",
"10032","Registry (MS baseline)","Software\Policies\Microsoft\Windows\CredentialsDelegation\AllowProtectedCreds","Registry","HKLM:\Software\Policies\Microsoft\Windows\CredentialsDelegation\AllowProtectedCreds","","1","=","Medium","Medium","Result=, Recommended=1",
"10033","Registry (MS baseline)","Software\Policies\Microsoft\Windows\EventLog\Application\MaxSize","Registry","HKLM:\Software\Policies\Microsoft\Windows\EventLog\Application\MaxSize","","32768","=","Medium","Medium","Result=, Recommended=32768",
"10034","Registry (MS baseline)","Software\Policies\Microsoft\Windows\EventLog\Security\MaxSize","Registry","HKLM:\Software\Policies\Microsoft\Windows\EventLog\Security\MaxSize","","196608","=","Medium","Medium","Result=, Recommended=196608",
"10035","Registry (MS baseline)","Software\Policies\Microsoft\Windows\EventLog\System\MaxSize","Registry","HKLM:\Software\Policies\Microsoft\Windows\EventLog\System\MaxSize","","32768","=","Medium","Medium","Result=, Recommended=32768",
"10036","Registry (MS baseline)","Software\Policies\Microsoft\Windows\Explorer\NoAutoplayfornonVolume","Registry","HKLM:\Software\Policies\Microsoft\Windows\Explorer\NoAutoplayfornonVolume","","1","=","Medium","Medium","Result=, Recommended=1",
"10037","Registry (MS baseline)","Software\Policies\Microsoft\Windows\Explorer\DisableMotWOnInsecurePathCopy","Registry","HKLM:\Software\Policies\Microsoft\Windows\Explorer\DisableMotWOnInsecurePathCopy","","0","=","Medium","Medium","Result=, Recommended=0",
"10038","Registry (MS baseline)","Software\Policies\Microsoft\Windows\GameDVR\AllowGameDVR","Registry","HKLM:\Software\Policies\Microsoft\Windows\GameDVR\AllowGameDVR","","0","=","Medium","Medium","Result=, Recommended=0",
"10039","Registry (MS baseline)","Software\Policies\Microsoft\Windows\Installer\AlwaysInstallElevated","Registry","HKLM:\Software\Policies\Microsoft\Windows\Installer\AlwaysInstallElevated","","0","=","Medium","Medium","Result=, Recommended=0",
"10040","Registry (MS baseline)","Software\Policies\Microsoft\Windows\Installer\EnableUserControl","Registry","HKLM:\Software\Policies\Microsoft\Windows\Installer\EnableUserControl","","0","=","Medium","Medium","Result=, Recommended=0",
"10041","Registry (MS baseline)","Software\Policies\Microsoft\Windows\Kernel DMA Protection\DeviceEnumerationPolicy","Registry","HKLM:\Software\Policies\Microsoft\Windows\Kernel DMA Protection\DeviceEnumerationPolicy","","0","=","Medium","Medium","Result=, Recommended=0",
"10042","Registry (MS baseline)","Software\Policies\Microsoft\Windows\LanmanServer\AuditClientDoesNotSupportEncryption","Registry","HKLM:\Software\Policies\Microsoft\Windows\LanmanServer\AuditClientDoesNotSupportEncryption","","1","=","Medium","Medium","Result=, Recommended=1",
"10043","Registry (MS baseline)","Software\Policies\Microsoft\Windows\LanmanServer\AuditClientDoesNotSupportSigning","Registry","HKLM:\Software\Policies\Microsoft\Windows\LanmanServer\AuditClientDoesNotSupportSigning","","1","=","Medium","Medium","Result=, Recommended=1",
"10044","Registry (MS baseline)","Software\Policies\Microsoft\Windows\LanmanServer\AuditInsecureGuestLogon","Registry","HKLM:\Software\Policies\Microsoft\Windows\LanmanServer\AuditInsecureGuestLogon","","1","=","Medium","Medium","Result=, Recommended=1",
"10045","Registry (MS baseline)","Software\Policies\Microsoft\Windows\LanmanServer\EnableAuthRateLimiter","Registry","HKLM:\Software\Policies\Microsoft\Windows\LanmanServer\EnableAuthRateLimiter","","1","=","Medium","Medium","Result=, Recommended=1",
"10046","Registry (MS baseline)","Software\Policies\Microsoft\Windows\LanmanServer\MaxSmb2Dialect","Registry","HKLM:\Software\Policies\Microsoft\Windows\LanmanServer\MaxSmb2Dialect","","785","=","Medium","Medium","Result=, Recommended=785",
"10047","Registry (MS baseline)","Software\Policies\Microsoft\Windows\LanmanServer\MinSmb2Dialect","Registry","HKLM:\Software\Policies\Microsoft\Windows\LanmanServer\MinSmb2Dialect","","768","=","Medium","Medium","Result=, Recommended=768",
"10048","Registry (MS baseline)","Software\Policies\Microsoft\Windows\LanmanServer\InvalidAuthenticationDelayTimeInMs","Registry","HKLM:\Software\Policies\Microsoft\Windows\LanmanServer\InvalidAuthenticationDelayTimeInMs","","2000","=","Medium","Medium","Result=, Recommended=2000",
"10049","Registry (MS baseline)","Software\Policies\Microsoft\Windows\LanmanWorkstation\AllowInsecureGuestAuth","Registry","HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation\AllowInsecureGuestAuth","","0","=","Medium","Medium","Result=, Recommended=0",
"10050","Registry (MS baseline)","Software\Policies\Microsoft\Windows\LanmanWorkstation\AuditInsecureGuestLogon","Registry","HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation\AuditInsecureGuestLogon","","1","=","Medium","Medium","Result=, Recommended=1",
"10051","Registry (MS baseline)","Software\Policies\Microsoft\Windows\LanmanWorkstation\AuditServerDoesNotSupportEncryption","Registry","HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation\AuditServerDoesNotSupportEncryption","","1","=","Medium","Medium","Result=, Recommended=1",
"10052","Registry (MS baseline)","Software\Policies\Microsoft\Windows\LanmanWorkstation\AuditServerDoesNotSupportSigning","Registry","HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation\AuditServerDoesNotSupportSigning","","1","=","Medium","Medium","Result=, Recommended=1",
"10053","Registry (MS baseline)","Software\Policies\Microsoft\Windows\LanmanWorkstation\MaxSmb2Dialect","Registry","HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation\MaxSmb2Dialect","","785","=","Medium","Medium","Result=, Recommended=785",
"10054","Registry (MS baseline)","Software\Policies\Microsoft\Windows\LanmanWorkstation\MinSmb2Dialect","Registry","HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation\MinSmb2Dialect","","768","=","Medium","Medium","Result=, Recommended=768",
"10055","Registry (MS baseline)","Software\Policies\Microsoft\Windows\LanmanWorkstation\RequireEncryption","Registry","HKLM:\Software\Policies\Microsoft\Windows\LanmanWorkstation\RequireEncryption","","0","=","Medium","Medium","Result=, Recommended=0",
"10056","Registry (MS baseline)","Software\Policies\Microsoft\Windows\Network Connections\NC_ShowSharedAccessUI","Registry","HKLM:\Software\Policies\Microsoft\Windows\Network Connections\NC_ShowSharedAccessUI","","0","=","Medium","Medium","Result=, Recommended=0",
"10057","Registry (MS baseline)","Software\Policies\Microsoft\Windows\NetworkProvider\EnableMailslots","Registry","HKLM:\Software\Policies\Microsoft\Windows\NetworkProvider\EnableMailslots","","0","=","Medium","Medium","Result=, Recommended=0",
"10058","Registry (MS baseline)","Software\Policies\Microsoft\Windows\NetworkProvider\HardenedPaths\\\*\SYSVOL","Registry","HKLM:\Software\Policies\Microsoft\Windows\NetworkProvider\HardenedPaths\\\*\SYSVOL","","RequireMutualAuthentication=1,RequireIntegrity=1","=","Medium","Medium","Result=, Recommended=RequireMutualAuthentication=1,RequireIntegrity=1",
"10059","Registry (MS baseline)","Software\Policies\Microsoft\Windows\NetworkProvider\HardenedPaths\\\*\NETLOGON","Registry","HKLM:\Software\Policies\Microsoft\Windows\NetworkProvider\HardenedPaths\\\*\NETLOGON","","RequireMutualAuthentication=1,RequireIntegrity=1","=","Medium","Medium","Result=, Recommended=RequireMutualAuthentication=1,RequireIntegrity=1",
"10060","Registry (MS baseline)","Software\Policies\Microsoft\Windows\Personalization\NoLockScreenCamera","Registry","HKLM:\Software\Policies\Microsoft\Windows\Personalization\NoLockScreenCamera","","1","=","Medium","Medium","Result=, Recommended=1",
"10061","Registry (MS baseline)","Software\Policies\Microsoft\Windows\Personalization\NoLockScreenSlideshow","Registry","HKLM:\Software\Policies\Microsoft\Windows\Personalization\NoLockScreenSlideshow","","1","=","Medium","Medium","Result=, Recommended=1",
"10062","Registry (MS baseline)","Software\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging\EnableScriptBlockLogging","Registry","HKLM:\Software\Policies\Microsoft\Windows\PowerShell\ScriptBlockLogging\EnableScriptBlockLogging","","1","=","Medium","Medium","Result=, Recommended=1",
"10063","Registry (MS baseline)","Software\Policies\Microsoft\Windows\Sudo\Enabled","Registry","HKLM:\Software\Policies\Microsoft\Windows\Sudo\Enabled","","0","=","Medium","Medium","Result=, Recommended=0",
"10064","Registry (MS baseline)","Software\Policies\Microsoft\Windows\System\AllowDomainPINLogon","Registry","HKLM:\Software\Policies\Microsoft\Windows\System\AllowDomainPINLogon","","0","=","Medium","Medium","Result=, Recommended=0",
"10065","Registry (MS baseline)","Software\Policies\Microsoft\Windows\System\EnumerateLocalUsers","Registry","HKLM:\Software\Policies\Microsoft\Windows\System\EnumerateLocalUsers","","0","=","Medium","Medium","Result=, Recommended=0",
"10066","Registry (MS baseline)","Software\Policies\Microsoft\Windows\System\EnableSmartScreen","Registry","HKLM:\Software\Policies\Microsoft\Windows\System\EnableSmartScreen","","1","=","Medium","Medium","Result=, Recommended=1",
"10067","Registry (MS baseline)","Software\Policies\Microsoft\Windows\System\ShellSmartScreenLevel","Registry","HKLM:\Software\Policies\Microsoft\Windows\System\ShellSmartScreenLevel","","Block","=","Medium","Medium","Result=, Recommended=Block",
"10068","Registry (MS baseline)","Software\Policies\Microsoft\Windows\System\AllowCustomSSPsAPs","Registry","HKLM:\Software\Policies\Microsoft\Windows\System\AllowCustomSSPsAPs","","0","=","Medium","Medium","Result=, Recommended=0",
"10069","Registry (MS baseline)","Software\Policies\Microsoft\Windows\System\RunAsPPL","Registry","HKLM:\Software\Policies\Microsoft\Windows\System\RunAsPPL","","1","=","Medium","Medium","Result=, Recommended=1",
"10070","Registry (MS baseline)","Software\Policies\Microsoft\Windows\WcmSvc\GroupPolicy\fBlockNonDomain","Registry","HKLM:\Software\Policies\Microsoft\Windows\WcmSvc\GroupPolicy\fBlockNonDomain","","1","=","Medium","Medium","Result=, Recommended=1",
"10071","Registry (MS baseline)","Software\Policies\Microsoft\Windows\Windows Search\AllowIndexingEncryptedStoresOrItems","Registry","HKLM:\Software\Policies\Microsoft\Windows\Windows Search\AllowIndexingEncryptedStoresOrItems","","0","=","Medium","Medium","Result=, Recommended=0",
"10072","Registry (MS baseline)","Software\Policies\Microsoft\Windows\WinRM\Client\AllowDigest","Registry","HKLM:\Software\Policies\Microsoft\Windows\WinRM\Client\AllowDigest","","0","=","Medium","Medium","Result=, Recommended=0",
"10073","Registry (MS baseline)","Software\Policies\Microsoft\Windows\WinRM\Client\AllowUnencryptedTraffic","Registry","HKLM:\Software\Policies\Microsoft\Windows\WinRM\Client\AllowUnencryptedTraffic","","0","=","Medium","Medium","Result=, Recommended=0",
